ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Part_Of_Speech,Source,Discont_NP,Syntactic_Role
derbyshire-1965-p-050-the-origin-of-mawarye-and-woxka-160,hix,"Yakeno moro=ha, ketxkonï=hatï, nyamoro.",yake-no	moro	ha	0-ke-txkonï	hatï	nyamoro,many-Nzr	3InMd	Intens	3Sa-say-DPst2:Col	Hrsy	3AnAnaCol,"""That (is) a lot,"" they say.",,afterthought,N	DPro	Ptc	Va	Ptc	Pro	…,derbyshire1965textos[50],n,
derbyshire-1965-p-052-the-origin-of-mawarye-and-woxka-235,hix,"Etenï oske nkeno, Woxka=y, kekonï=hatï, Mawarye, towtï=wya.",etenï	oske	n-ke-no	Woxka	y	0-ke-konï	hatï	mawarye	t-owtï	wya,wh.In	thus	3Sa-say-Pres:Dbt	Woxka	Voc	3Sa-say-DPst2	Hrsy	Mawarye	3R-sm.sx.sblg	Dat,"""What is (that) saying like that, Woxka,"" said Mawarye to his brother.",,afterthought,Intrg	A	Va	N	Ptc	Va	Ptc	N	N	Pp	…,derbyshire1965textos[52],n,
derbyshire-1965-p-053-the-origin-of-mawarye-and-woxka-245,hix,"Mawarye=y, kekonï=hatï, towtï=wya.",Mawarye	y	0-ke-konï	hatï	t-owtï	wya,Mawarye	Voc	3Sa-say-DPst2	Hrsy	3R-sm.sx.sblg	Dat,"""Mawarye,"" he said to his brother.",,afterthought,N	Ptc	Va	Ptc	N	Pp	…,derbyshire1965textos[53],n,
derbyshire-1965-p-060-the-wives-of-mawarye-and-woxka-005,hix,Horyetho monï yahuryatxkonï.,horye-tho	monï	y-ahur-yatxkonï,big.one-Pst	3InRm	Rel-shut.in-DPst2:Col,"They sealed off that one, the big one.",,,N	DPro	Vt	…,derbyshire1965textos[60],np_arg,
derbyshire-1965-p-060-the-wives-of-mawarye-and-woxka-008,hix,"Kana yowomtoho onï, kekonï=hatï, Mawarye, towtï=wya=ha.",kana	y-owom-toho	onï	0-ke-konï	hatï	mawarye	t-owtï	wya	ha,fish	Rel-go.in-Circ	3InPx	3Sa-say-DPst2	Hrsy	Mawarye	3R-sm.sx.sblg	Dat	Intens,"This (is) the thing into which go the fish,"" said Mawarye to his brother.",,two afterthoughts,N	N	DPro	Va	Ptc	N	N	Pp	Ptc	…,derbyshire1965textos[60],n,
derbyshire-1965-p-060-the-wives-of-mawarye-and-woxka-022,hix,"Xenytxa Woxka=y, kekonï=hatï, towtï=wya, Woxka=wya.",x-eny-txa	Woxka	y	0-ke-konï	hatï	t-owtï	wya	Woxka	wya,Gen-see-Go.Imper:2	Woxka	Voc	3Sa-say-DPst2	Hrsy	3R-sm.sx.sblg	Dat	Woxka	Dat,"""Go look at it, Woxka,"" he said to his brother, to Woxka.",,elaboration pattern,Vt	N	Ptc	Va	Ptc	N	Pp	N	Pp	…,derbyshire1965textos[60],n,
derbyshire-1965-p-061-the-wives-of-mawarye-and-woxka-034,hix,"Ehxera manaye, kekonï=hatï, Woxka, Mawarye=wya=ha.",eh-xera	ma-n-a-ye	0-ke-konï	hatï	Woxka	Mawarye	wya	ha,Cop-Neg	NVis-3Sa-Cop-DPst1	3Sa-say-DPst2	Hrsy	Woxka	Mawarye	Dat	Intens,"""(There) is nothing,"" said Woxka to Mawarye.",,afterthoughts,A	Va	Va	Ptc	N	N	Pp	Ptc	…,derbyshire1965textos[61],n,
derbyshire-1965-p-061-the-wives-of-mawarye-and-woxka-040,hix,"Ahruthuru yahyekonï, xaryemna=ha.",0-ahru-0-thuru	y-ahye-konï	xaryemna	ha,3-cover-Nzr-Pst:Pos	Rel-shake-DPst2	otter.sp	Intens,The otter was shaking the stuff covering it.,,afterthought,N	Vt	N	Ptc	…,derbyshire1965textos[61],n,
derbyshire-1965-p-061-the-wives-of-mawarye-and-woxka-045,hix,"Manaye=ha, kekonï=hatï, Woxka, Mawarye=wya=ha.",man-a-ye	ha	0-ke-konï	hatï	Woxka	Mawarye	wya	ha,2Sa-Cop-Pres:Dbt	Intens	3Sa-say-DPst2	Hrsy	Woxka	Mawarye	Dat	Intens,"""It is (there),"" said Woxka to Mawarye.",,afterthoughts,Va	Ptc	Va	Ptc	N	N	Pp	Ptc	…,derbyshire1965textos[61],n,
derbyshire-1965-p-061-the-wives-of-mawarye-and-woxka-052,hix,"Ïhoko=tï nehxatxkonï=ha, Mawarye=komo=ha, Woxka=komo.",ï-hoko	tï	n-eh-xatxkonï	ha	Mawarye	komo	ha	Woxka	komo,3-about	Hrsy	3Sa-Cop-DPst2:Col	Intens	Mawarye	Col	Intens	Woxka	Col,Both Mawarye and Woxka were occupied with her.,,afterthoughts,Pp	Ptc	Va	Ptc	N	Ptc	Ptc	N	Ptc	…,derbyshire1965textos[61],n,
derbyshire-1965-p-062-the-wives-of-mawarye-and-woxka-059,hix,"Namotohkatxownï=hatï, Mawarye=komo, Woxka=komo.",n-amotoh-ka-txownï	hatï	Mawarye	komo	Woxka	komo,3AO-tire-Tvzr-DPst1:Col	Hrsy	Mawarye	Col	Woxka	Col,Mawarye and Woxka exhausted her.,,afterthoughts,Vt	Ptc	N	Ptc	N	Ptc	…,derbyshire1965textos[62],n,
derbyshire-1965-p-062-the-wives-of-mawarye-and-woxka-071,hix,"Moyorono mokyamo=ha, worïskomo=heno=ha, kekonï=hatï, xaryemna=ha.",moyoro-no	mokyamo	ha	worïskomo	heno	ha	0-ke-konï	hatï	xaryemna	ha,different.place-Nzr	3AnRmCol	Intens	women	Quant	Intens	3Sa-say-DPst2	Hrsy	otter.sp	Intens,"""They (are) ones far away, the women,"" said the otter.",,afterthought with intervening particle,N	DPro	Ptc	N	Ptc	Ptc	Va	Ptc	N	Ptc	…,derbyshire1965textos[62],n,
derbyshire-1965-p-064-the-wives-of-mawarye-and-woxka-119,hix,"Wosï yanïmye, kanye mokï nexeye=heno.",wosï	y-anïm-ye	ka-nye	mokï	n-exe-ye	heno,woman	Rel-lift-DPst1	say-A	3AnRm	3Sa-Cop-DPst1	Dead,"He lifted the women, he, the deceased was the one, the one who said it.",,interesting position of heno,N	Vt	N	DPro	Va	Ptc	…,derbyshire1965textos[64],n,
derbyshire-1965-p-064-the-wives-of-mawarye-and-woxka-121,hix,"Mosonï=ha Woxka, khetxe.",mosonï	ha	Woxka	k-he-txe,3AnPx	Intens	Woxka	1+2-wife-Pos,"'These, Woxka, (are) our wives.",,afterthought,DPro	Ptc	N	N	…,derbyshire1965textos[64],n,
derbyshire-1965-p-064-the-wives-of-mawarye-and-woxka-122,hix,"Mosonï=ha omoro, ohetxe=ha, kekonï=hatï, Mawarye, towtï=wya=ha.",mosonï	ha	omoro	o-he-txe	ha	0-ke-konï	hatï	mawarye	t-owtï	wya	ha,3AnPx	Intens	2	2-wife-Pos	Intens	3Sa-say-DPst2	Hrsy	Mawarye	3R-sm.sx.sblg	Dat	Intens,"""This one (is) yours.""",,what is happening with mosonï and omoro?,DPro	Ptc	Pro	N	Ptc	Va	Ptc	N	N	Pp	Ptc	…,derbyshire1965textos[64],?,
derbyshire-1965-p-066-the-wives-of-mawarye-and-woxka-162,hix,"Honyetko=tï nehxakonï=ha, yawonye, atxkenyhaha=xak=mak=hatï.",honyetko	tï	n-eh-xakonï	ha	y-awo-nye	atxkenyhaha	xak	mak	hatï,fish.sp	Hrsy	3Sa-Cop-DPst2	Intens	Rel-Iness-Col	small.thing	Misfrtn	Advers	Hrsy,"The ""honyetko"" was inside them, having become a very small thing.",,y-awo-nye?,N	Ptc	Va	Ptc	Pp	N	Ptc	Ptc	Ptc	…,derbyshire1965textos[66],?,
derbyshire-1965-p-067-the-wives-of-mawarye-and-woxka-196,hix,"Ta... Woxka=y, kekonï=hatï, ïwya=ha, towtï wya.",ta	Woxka	y	0-ke-konï	hatï	ï-wya	ha	t-owtï	wya,Top.Chg	Woxka	Voc	3Sa-say-DPst2	Hrsy	3-Dat	Intens	3R-sm.sx.sblg	Dat,"Marking change of subject, ""Woxka,"" he said to him, to his brother.",,elaboration pattern,Ptc	N	Ptc	Va	Ptc	Pp	Ptc	N	Pp	…,derbyshire1965textos[67],n,
derbyshire-1965-p-067-the-wives-of-mawarye-and-woxka-197,hix,"Woxka=y, mosonï=ha, ohetxe, kekonï=hatï.",Woxka	y	mosonï	ha	o-he-txe	0-ke-konï	hatï,Woxka	Voc	3AnPx	Intens	2-wife-Pos	3Sa-say-DPst2	Hrsy,"""Woxka, this one (is) your wife,"" he said.",,afterthought,N	Ptc	DPro	Ptc	N	Va	Ptc	…,derbyshire1965textos[67],n,
derbyshire-1965-p-067-the-wives-of-mawarye-and-woxka-201,hix,"Ïto=tï nahxakonï=hatï, ehnï=yohoye, kuthonï=ymo=yohoye=hatï.",ïto	tï	n-ah-xakonï	hatï	ehnï	y-ohoye	kuthonï	ymo	y-ohoye	hatï,there	Hrsy	3AO-sex-DPst2	Hrsy	river	Rel-beside	lake	Augm	Rel-beside	Hrsy,"He was sexually intercoursing her there, beside the river, beside the big lake.",,good example of [[N Ptc] Pp],A	Ptc	Vt	Ptc	N	Pp	N	Ptc	Pp	Ptc	…,derbyshire1965textos[67],n,
derbyshire-1965-p-067-the-wives-of-mawarye-and-woxka-209,hix,"Woxka=heno yarïye=ha, okoymo=ha.",Woxka	heno	y-arï-ye	ha	okoymo	ha,Woxka	Dead	Rel-take-DPst1	Intens	anaconda	Intens,The anaconda took Woxka away.,,good example of [[N Ptc] Vt],N	Ptc	Vt	Ptc	N	Ptc	…,derbyshire1965textos[67],n,
derbyshire-1965-p-069-the-wives-of-mawarye-and-woxka-253,hix,"Atxke naha kekonï=hatï, Mawarye=wya, Woxka.",atxke	n-a-ha	0-ke-konï	hatï	mawarye	wya	Woxka,bad	3Sa-Cop-Pres:Cty	3Sa-say-DPst2	Hrsy	Mawarye	Dat	Woxka,"""She is no good,"" said Woxka to Mawarye.",,afterthought,A	Va	Va	Ptc	N	Pp	N	…,derbyshire1965textos[69],n,
derbyshire-1965-p-023-the-origin-of-the-moon-004,hix,Tïnotxhïrï=rma=hoko nehxakonï.,tï-notxhï-rï	rma	hoko	n-eh-xakonï,3R-sister-Pos	Cont	about	3Sa-Cop-DPst2,He was occupied with his sister.,,Example of *rma* within phrase.,N	Ptc	Pp	Va	…,derbyshire1965textos[23],n,
ae-personal-narrative-015,aka,mörö winnö urö sang ye'pï meriam ye'pï,mörö	winö	urö	sang	yebï-'pï	Mariam	yebï-'pï,that	from	1Sg	mother	come-Past	Mariam	come-Past,This is where my mother Mariam came from,,afterthought is a whole clause,Dem	P	Pro	N	Vi	N	Vi,caesarDBakawaio,n,
ae-personal-narrative-018,aka,"i'tuya bogeng bra ji, Akawaio be rï'kwö rö na'kö ji a'ai pïze urö sang nok ne'tai",i'tu-u-ya	bogeng	bra	eji	Akawaio	pe	rï'kwö	rö	na'kö	ji	a'ai	pïze	urö	sang	nok	n-eji-dai,know-1-Erg	like.manner	Neg	be	Akawaio	like	Dim	Emph	maybe	Emph	mother	this.Anim	1Sg	mother	grandmother	3S-be-Past,"I do not know, but my mother's grandmother was Akawaio",,a'ai pïze urö sang?,Vt	P	Adv	Vi	N	P	Pro	Prtcl	Adv	Prtcl	N	Pro	Pro	N	N	Prs-V-TAM	…,caesarDBakawaio,?,
ae-personal-narrative-031,aka,mörö kasa tïgo'mangzang nya serö waramadang bo,mörö	kaza	t-ko'mamï-zang	nya	serö	waramadang	po,that	like	Adv-live-Pl.Nzr	1+3	this	Waramadong	Loc,That's how we all live here at Waramadong,,,Dem	P	N	Pro	Pro	N	P,caesarDBakawaio,np,
cc-praising-rhymes-6,aka,mörö gaza rï'kwö warawok mïre aburöuya mörö,mörö	kaza	rï'kwö	warawok	mïre	aburö-u-ya	mörö,that	like	Dim	boy	child	praise-1-Erg	A.I.?,This is how I would praise a boy child when he is small,,,Dem	P	Pro	N	N	Vt	?,caesarDBakawaio,np,
cc-praising-rhymes-25,aka,korwak rï'kwö boganing dauya,korwak	rï'kwö	poga-ning	ta-u-ya,patwa.fish	Dim	shoot-A.Nzr	say-1-Erg,"the shhoter of cute little patwa fish, I say",,Good example of [[N Ptc] N],N	Pro	N	Vt	…,caesarDBakawaio,n,
cc-praising-rhymes-32,aka,sama'nong dauya ganang mörö uri'chang bök,sama'nong	ta-u-ya	kanang	mörö	uri'chang	pök,pretty	say-1-Erg	again	Fut	female	to,"You are pretty, I would say again to the girl",,is mörö really a particle expressing future?,N	Vt	Pro	Prtcl	N	P,caesarDBakawaio,np,
ae-personal-narrative-033,aka,serö nong bo,serö	nong	po,this	earth	on,on this earth,,,Pro	N	P	…,caesarDBakawaio,np,
ae-personal-narrative-064,aka,nya ya rö se ji kashiri konega,nya	ya	rö	serö	ji	kajiri	konega,1+3	Erg	Emph	this	Emph	cassava.beer	make,We make this thing called kashiri,,*serö ji kashiri*,Pro	P	Prtcl	Pro	Prtcl	N	Vt	…,caesarDBakawaio,part,
claudine-bagot-personal-narrative-021,aka,"mörö gaza bek, nai gaza önïk röji enau",mörö	gaza	bek	nai	gaza	önïk	rö-ji	enau,that	like	QP	what	like	who	Emph-Emph	in.hand,"Is this how it will be? How, in whose hands?",,Good example of [[N Ptc Ptc] N],Dem	P	Prtcl	N	P	Pro	Prtcl	P,caesarDBakawaio,n,
claudine-bagot-personal-narrative-034,aka,mörau ji mörö maing nö na'nek,mörau	ji	mörö	maing	nö	nai-nek,there	Emph	that	word	Emph	3.be.Pres-Rel,There is always speech that is there,,,Adv	Prtcl	Dem	N	Prtcl	Vi-Rel,caesarDBakawaio,np,
claudine-bagot-personal-narrative-052,aka,kïrörö kïrö magoi se gaza rö mo'kaning dawong,kïrö-rö	kïrö	magoi	zerö	kaza	rö	mo'ka-ning	ta-wong,3Sg.Anim-Cop?	3Sg.Anim	sin	this	like	Emph	take.away-A.Nzr	say-Nzr/Rel?,"It is only the sinful one (evil/satan)who can take you away suddenly, they say",,,Dem	Pro	N	Pro	P	Prtcl	N	N	…,caesarDBakawaio,np,
claudine-bagot-personal-narrative-087,aka,e'nongga rï'kwörö mörö yeburudong ya rö yereudanïgï a'tai e'nongga tawong ning,e'nongga	rï'kwö-rö	mörö	y-eburu-dong	ya	rö	y-ereuda-nïgï	a'tai	e'nongga	ta-wong	ning,leave	Dim-Emph	that	1-boss-Pl	Erg	Emph	1-sit-Caus	when	leave	say-Nzr/Rel?	Emph,She has said I will leave when my bosses stop me,,,Vi	Adv?-Prtcl	Dem	N	P	Prtcl	Prs-Vi-VDer	Prtcl	Vi	N	Prtcl,caesarDBakawaio,np,
lester-eugene-personal-narrative-021,aka,mörö dïbo urö ji laspang e'tane ji aigobe rï'kwö e'tane urö gïibïnï ji ma'ta'pï mörö,mörö	tïbo	urö	ji	laspang	e'tane	ji	aigo-be	rï'kwö	eji-dane	urö	kïibïnï	ji	ma'ta-'pï	mörö,that	after	1Sg	Emph	last.one	but	Emph	small-Attr	Dim	be-while	1Sg	father	Emph	die-Past	A.I.?,"Then after that, I am the last one but while I was still small my father died",,confused by the addressee involvement here,Dem	Adv	Pro	Prtcl	N	Prtcl	Prtcl	A	Pro	Vi	Pro	N	Prtcl	Vi	?	…,caesarDBakawaio,n,
lester-eugene-personal-narrative-026,aka,"kïrörö ji urö gïibïnï ji es'pï mörö kayuni, kayunirïgok nïgabö'tai tok ko",kïrö-rö	ji	urö	kïibïnï	ji	eji-'pï	mörö	kayuni	kayuni-gok	n-ka-bödï-dai	tok	ko,3Sg.Anim-Emph	Emph	1Sg	father	Emph	be-Past	A.I.?	Kuyuni	Kuyuni-tribe	3S-say-Hab-Past	3Pl	Emph," He my father was from a tribe from Kayuni, so they always say",,[*kïrörö ji*] [*urö kïibïnï ji*],Pro	Prtcl	Pro	N	Prtcl	Vi	?	N	N	Vi	Pro	Prtcl	…,caesarDBakawaio,part,
lester-eugene-personal-narrative-036,aka,dadi bogong nö agïibïnïdong rö tombadong be rö,dadi	pök-ng	nö	a-kïibïnï-dong	rö	tomba-dong	pe	rö,Daddy	about-Nzr	Emph	2-father-Pl	Emph	relative-Pl	like	Emph,also the relative of Daddie your father,,'Daddie your father'?,N	N	Prtcl	N	Prtcl	N	P	Prtcl	…,caesarDBakawaio,?,
lester-eugene-personal-narrative-047,aka,turonnö mïre bra yesh'pï,turonnö	mïre	bra	y-eji-'pï,another	child	Neg	3-be-Past,there was no other child,,,N	N	Adv	Vi	…,caesarDBakawaio,np,
lester-eugene-personal-narrative-096,aka,"uri'chang amök, ezugeng uri'chang amök seven gaijarö",uri'chang	amök	ezugeng	uri'chang	amök	gaijarö,female	Pl	of.one.kind	female	Pl	in.number,"with seven girls, all of the same sex",,ADV + N + PL,N	Prtcl	Adv	N	Prtcl	Adv	…,caesarDBakawaio,np,
lester-eugene-personal-narrative-100,aka,serö ji munggamök a ji urö nïmbödï'pï ji,serö	ji	munggö	amök	ya	ji	urö	nïmï-bödï-'pï	ji,this	Emph	children	Pl	Erg	Emph	1Sg	leave-Pl.Abs-Past	Emph,"Now at this time, my children have now left me",,is *serö ji* 'at this time'? I don’t think so.,Pro	Prtcl	N	Prtcl	P	Prtcl	Pro	Vt	Prtcl	…,caesarDBakawaio,?,
lester-eugene-personal-narrative-106,aka,uri'chang amök rögeng sa'ne ezugeng warawok amök pra rö,uri'chang	amök	rögeng	sa'ne	ezugeng	warawok	amök	bra	rö,female	Pl	only	Emph	of.one.kind	boy	Pl	Neg	Emph,These are really all girls without any boys,,,N	Prtcl	Prtcl	Prtcl	Adv	N	Prtcl	Adv	Prtcl	…,caesarDBakawaio,np,
pingkas-personal-narrative-011,aka,wayara yeng diezek ka'tau,wayara	eng	i-ezek	ka'tau,macaw	cave	3-name	high,at a high place named Wayara yeng (Macaw's cave),,,N	N	N	Adv	…,caesarDBakawaio,np,
pingkas-personal-narrative-022,aka,mörö wenong urö dauwa ning ji,mörö	winö-ng	urö	ta-u-wa	ning	eji,that	from-Nzr	1Sg	say-1-Erg	Emph	be,I am saying that I am from there,,,Dem	N	Pro	Vt	Prtcl	Vi	…,caesarDBakawaio,np,
pingkas-personal-narrative-031,aka,"mörau sa'ji urö enshi mang ko, mö tong bo",mörau	sa'ji	urö	enji	mang	ko	mörö	tong	po,there	Emph	1Sg	daughter	3.be.Pres	Emph	that	town	Loc,There is my daughter who is in town (meaning Georgetown),,,Adv	Prtcl	Pro	N	Vi	Prtcl	Dem	N	P	…,caesarDBakawaio,np,
pingkas-personal-narrative-037-pingkas-smith,aka,"mainarï rï'kwörö, mö mainarï möng wïk pïragong bo mainarï mang",maina-ri	rï'kwö-rö	mörö	maina-ri	mörö-ng	wïk	pïragong	po	maina-ri	mang,farm-Psd	Dim-Emph	that	farm-Psd	that-Style	mountain	ankle	Loc	farm-Psd	3.be.Pres,"I do have a fram, there is my farm, over there!!! My farm is at the foot of the mountain",,,N	Adv?-Prtcl	Dem	N	Dem-?	N	N	P	N	Vi	…,caesarDBakawaio,np,
pingkas-personal-narrative-047,aka,mïgï tok kïipïnïdong winnö mörö ji am..,mïgï	tok	kïibïnï-dong	winö	mörö	ji	am,Hes	3Pl	father-Pl	from	that	Emph	um,From their father's side that,,disfluency,Prtcl	Pro	N	P	Dem	Prtcl	Prtcl	…,caesarDBakawaio,n,
pingkas-personal-narrative-057,aka,serö rï'kwö rö maing sauro'nö na'nek eji wagïbe rö,serö	rï'kwö	rö	maing	saurogï-nnö	nai-nek	eji	wagï	pe	rö,this	Dim	Emph	word	talk-1+2S	3.be.Pres-Rel	be	good	like	Emph,This language that we talk here is really good,,"do *serö* and *maimu* go together, as suggested by the translation?",Pro	Pro	Prtcl	N	Vi	Vi-Rel	Vi	N	P	Prtcl	…,caesarDBakawaio,?,
pingkas-personal-narrative-064,aka,tu'ke rö tok maimu eji brazil bo kuru,tu'ke	rö	tok	maimu	eji	brazil	po	kuru,many	Emph	3Pl	language	be	Brazil	Loc	Emph,There have several languages in Brazil in particular,,*tu'ke rö tok maimu*,Prtcl	Prtcl	Pro	N	Vi	N	P	Prtcl	…,caesarDBakawaio,part,
pingkas-personal-narrative-066,aka,"serö ning shi Gaiyana bo rï'kwö ning ji mïgï mörö dö wagïbe kuning maing eji, mörö gaza",serö	ning	ji	Gaiyana	po	rï'kwö	ning	ji	mïgï	mörö	tö	wagï	pe	kuru	ning	maing	eji	mörö	kaza,this	Emph	Emph	Guyana	Loc	Dim	Emph	Emph	Hes	that	go	good	like	Emph	Emph	word	be	that	like,"Here in Guyana the language (Akawaio) goes well (meaning spoken well), like that",,*mörö ... maing* ‘it ... the language’,Pro	Prtcl	Prtcl	N	P	Pro	Prtcl	Prtcl	Prtcl	Dem	Vi	N	P	Prtcl	Prtcl	N	Vi	Dem	P	…,caesarDBakawaio,y,
pingkas-personal-narrative-068-interviewer,aka,pandong rö penarokrï'pï?,pandong	rö	penarok-rï'pï,story	Emph	old-Past.Psn,Even one that use to be an old story,,,N	Prtcl	N	…,caesarDBakawaio,part,
ps-duck-story-007,aka,wagïdong rö airö stori amök bu'töga'nïgï tok a be mang,wagï-dong	rö	airö	stori	amök	pu'tögabï-nïgï	tok	ya	pe	mang,good-Pl	Emph	sympathy	story	Pl	forget-Caus	3Pl	Erg	like	3.be.Pres,It seems that they will be forgetting good stories,,[*wagïdong rö airö*] [*stori amök*],N	Prtcl	Prtcl	N	Prtcl	Vi-VDer	Pro	P	P	Vi	…,caesarDBakawaio,part,
ps-duck-story-012,aka,mai'kwak kïrö mai'kwak tuna gawong,mai'kwak	kïrö	mai'kwak	tuna	ka-wong,duck	3Sg.Anim	duck	water	say-Nzr/Rel?,"The duck, the one that is in the water",,,N	Pro	N	N	N	…,caesarDBakawaio,np,
ps-duck-story-021,aka,kïrö togodogo ya ji tïmainarï agïdï,kïrö	togodogo	ya	ji	t-maina-ri	agïdï,3Sg.Anim	owl	Erg	Emph	3.Rfl-farm-PS	d	cut,The owl cut his farm,,,Pro	N	P	Prtcl	N	Vt	…,caesarDBakawaio,np,
ps-duck-story-024,aka,ösöbe kïrö mai'kwak eshi ösöbe shiyampiyan be shi ösö be ji,özö-be	kïrö	mai'kwak	eji	özö-be	shiyampiyan	pe	y-eji	özö	pe	y-eji,serious-Attr	3Sg.Anim	duck	be	serious-Attr	champion	like	3-be	serious	like	3-be,"The duck was a very serious one, he was a serious champion",,,A	Pro	N	Vi	A	N	P	Vi	N	P	Vi	…,caesarDBakawaio,np,
ps-duck-story-025,aka,kïrö togodogo endai,kïrö	togodogo	endai,3Sg.Anim	owl	better,Better than the owl,,potentially a DEM + N NP,Pro	N	P	…,caesarDBakawaio,n,
ps-duck-story-026,aka,"togodogo engurumïng... seau, tigingnö yöi ennogöiya",togodogo	engurumï-ng	serau	tiginnö	yöi	ennogï-i-ya,owl	wait-Style	here	one	tree	send-3-Erg,"The owl wold just sit here, then he cut down one tree",,,N	Vi-?	Adv	Prtcl	N	Vt	…,caesarDBakawaio,np,
ps-duck-story-032,aka,kïrö ning mai'kwak eji mörö ösöbe shiyampiyan be ning shi shenubasak be yeshi,kïrö	ning	mai'kwak	eji	mörö	özö-be	shiyampiyan	pe	ning	y-eji	i-zenuba-zak	pe	y-eji,3Sg.Anim	Emph	duck	be	A.I.?	serious-Attr	champion	like	Emph	3-be	3-learn-Perf	like	3-be,"But the duck is really a very serious one, he is a champion because he is one that is trained",,*kïrö ning mai'kwak*,Pro	Prtcl	N	Vi	?	A	N	P	Prtcl	Vi	Vi	P	Vi	…,caesarDBakawaio,part,
ps-duck-story-034,aka,a.. a.. pïse tok ewo'pï nosamishi pada bong ning ji tok ewo'pï,a	a	pïze	tok	ewo'pï	nosami'chi	pada	po-ng	ning	ji	tok	ewo'pï,ah	ah	this.Anim	3Pl	mother.in.law	old	place	Loc-Nzr	Emph	Emph	3Pl	mother.in.law,"Then here is their mother-in-law an old woman who was at home, their mother-in-law",,,Prtcl	Prtcl	Pro	Pro	N	N	N	N	Prtcl	Prtcl	Pro	N	…,caesarDBakawaio,np,
ps-duck-story-039,aka,möra'tai ji mai'kwak dundagabï kïrö togodogo rawörö,möra'tai	ji	mai'kwak	tunda-gabï	kïrö	togodogo	rawörö,at.that.time	Emph	duck	travel-Cmpltv	3Sg.Anim	owl	before,Then the duck would journey back before the owl,,,Pro	Prtcl	N	Vi	Pro	N	P	…,caesarDBakawaio,np,
ps-duck-story-043,aka,kïrö no'sangshi ya,kïrö	no'sami'chi	ya,3Sg.Anim	old	Erg,By she the old woman,,,Pro	N	P	…,caesarDBakawaio,np,
ps-duck-story-047,aka,kïrö ji togodogo pada go'manï'ning ingurungnöbök ning te'seng,kïrö	ji	togodogo	pada	ko'manïgï-ning	ingurumï-nöbök	ning	t-eji-zeng,3Sg.Anim	Emph	owl	place	keep-A.Nzr	stay.still-Prog	Emph	Adv-be-Abs.Nzr,Then that owl the one who spent his time resting,,*kïrö ji togodogo*,Pro	Prtcl	N	N	N	Vi	Prtcl	N	…,caesarDBakawaio,part,
ps-duck-story-055,aka,mai'kwak amök mainarï,mai'kwak	amök	maina-ri,duck	Pl	farm-PS	d,The farm of the ducks,,nice example of possessive construction with intervening particle,N	Prtcl	N	…,caesarDBakawaio,n,
ps-duck-story-058,aka,"e'tane shi turonggong a, turonggong a shi mïgï mörö mai'kwak mainarï ene'pï",e'tane	ji	turonnö-gong	ya	turonnö-gong	ya	ji	mïgï	mörö	mai'kwak	maina-ri	ene-'pï,so	Emph	another-Pl	Erg	another-Pl	Erg	Emph	Hes	that	duck	farm-PS	d	see-Past,"Then other people, the other people saw the duck's farm",,,Prtcl	Prtcl	N	P	N	P	Prtcl	Prtcl	Dem	N	N	Vi	…,caesarDBakawaio,np,
ps-duck-story-060,aka,ekepe rö a'naik e'kwa ning ti'tuik pra rö,ege-be	rö	a'naik	e'kwa	ning	t-i'tu-ik	bra	rö,big-Attr	Emph	corn	field	Emph	Adv-know-Prtcpl	Neg	Emph,There were a huge amount of fields with corn and many other crops,,adverb,A	Prtcl	N	N	Prtcl	?-Vt-Vder	Adv	Prtcl	…,caesarDBakawaio,n,
ps-duck-story-061,aka,a.. kïrö ning mïgï mörö mai'kwak manengbazai'ya mörö,a	kïrö	ning	mïgï	mörö	mai'kwak	manengba-zak-i-ya	mörö,ah	3Sg.Anim	Emph	Hes	that	duck	make.angry-Perf-3-Erg	A.I.?,She had already made the duck angry,,,Prtcl	Pro	Prtcl	Prtcl	Dem	N	Vt	?	…,caesarDBakawaio,np,
ps-duck-story-064,aka,anembai ta'pï shi pïze tok ewo'pï nosamishi ya mörö,an-ene-bai	ta-'pï	ji	pïze	tok	ewo'pï	no'sami'chi	ya	mörö,3O.Desid-see-Desid	say-Past	Emph	this.Anim	3Pl	mother.in.law	old	Erg	A.I.?,"I want to see it said the old woman, the mother-in-law",,[DEM PL N N] ya?,Adv	Vt	Prtcl	Pro	Pro	N	N	P	?	…,caesarDBakawaio,n,
ps-duck-story-067,aka,"aikor'kwö wijagong, mïre rï'kwö önïk rönamo uri'shang mïre rï'kwö rö namo",aigo	rï'kwö	wijagong	mïre	rï'kwö	önïk	rönamo	uri'chang	mïre	rï'kwö	rö	namo,small	Dim	other	child	Dim	who	uncrtn	female	child	Dim	Emph	Uncrtnty,"The partner who accompanied her was small, maybe she was a small girl",,What is going on here?,N	Pro	N	N	Pro	Pro	Prtcl	N	N	Pro	Prtcl	Prtcl	…,caesarDBakawaio,?,
ps-duck-story-078,aka,möra'tai kïrö no'sanshi döga'pï shi maina ak,möra'tai	kïrö	no'sami'chi	tö-gabï-'pï	ji	maina	yak,at.that.time	3Sg.Anim	old	go-Cmpltv-Past	Emph	farm	into,Then she the old woman went into the farm,,,Pro	Pro	N	Vi	Prtcl	N	P	…,caesarDBakawaio,np,
